Geneid,WE 10DPA,WE 20DPA,SE 20DPA,SE 30DPA,AL 20DPA,AL 30DPA,TC 20DPA
TraesCS1A02G019700,0,0,0,0,0,0,0
TraesCS1A02G095600,0,0,0,0.25,0,0,0
TraesCS1A02G164700,2.5,12.75,1,2.5,60.6666666666667,10.25,3.5
TraesCS1A02G256700,0,0,0,0,0,0,0
TraesCS1A02G310300,0,0,0,0,0,0,0
TraesCS1B02G023900,0,0,0,0,0,0,0
TraesCS1B02G128000,0,0,0,0,0,0,0.25
TraesCS1B02G181600,0.5,4.25,1,1.5,35,8,3.75
TraesCS1B02G267300,0,0,0,0,0,0,3.25
TraesCS1B02G321500,0,0,0,0.25,0,0,0
TraesCS1D02G019300,0,0,0,0,0,0,0
TraesCS1D02G104500,0,0,0,0,0,0,0.5
TraesCS1D02G161800,4.5,9,1,1,42.1666666666667,9,3.25
TraesCS1D02G256100,0,0,0,0.25,0,0,0
TraesCS1D02G309800,0,0,0,0,0,0,0
TraesCS2A02G219600,5.25,2.75,3,2,0.833333333333333,2.75,69
TraesCS2A02G219700,0.25,0,0,0,0,0,0
TraesCS2A02G231600,1.25,4.25,0.5,1.5,5.5,4.25,3.5
TraesCS2A02G300300,0,0.25,0,0,0.333333333333333,0,0
TraesCS2A02G505300,0,0,0,0,0,0,0
TraesCS2A02G516300,12.5,29,9.25,25.25,70.1666666666667,36.5,26.5
TraesCS2A02G575700,0,0,0.25,4.25,0.333333333333333,3,4
TraesCS2A02G584400,0,0,0,0,0,0,0
TraesCS2A02G584600,0,0,0,0,0,0,0
TraesCS2B02G245100,7,2.5,2,4.75,0.666666666666667,3.75,90.75
TraesCS2B02G245300,0,0,0,0,0,0,0
TraesCS2B02G255800,0,1.25,0.75,0.25,0.666666666666667,0,1
TraesCS2B02G316600,0,10.75,0,3.5,52.1666666666667,8.25,2
TraesCS2B02G533700,0,0,0,0,0,0,0
TraesCS2B02G545100,19.5,88,57.25,92,40.6666666666667,94.5,59
TraesCS2B02G598400,0,0,0,0,0,0,0
TraesCS2B02G598500,0,0.25,0,0,0,0,0
TraesCS2B02G611600,0,14,0,11.75,0.166666666666667,40,2.5
TraesCS2D02G225400,7.5,1.75,2,4.75,0.166666666666667,1.75,50.5
TraesCS2D02G225500,0,0,0,0,0,0,0
TraesCS2D02G298200,0,0,0,0,0.833333333333333,0.25,0
TraesCS2D02G506100,0,0,0,0,0,0,0
TraesCS2D02G518100,16.75,36.25,34.25,47,10.6666666666667,31.25,32
TraesCS2D02G548200,0,0,0,0,0,0,0
TraesCS2D02G586500,0,4.25,0,9.75,0.5,18.25,2.75
TraesCS2D02G601600,0,0,0,0,0,0,0
TraesCS2D02G601700,0,33.75,4.5,17.25,1.33333333333333,15.5,1.5
TraesCS3A02G007100,0,0,0,0,0,0,0.25
TraesCS3A02G019600,0,0,0,0,0,0,0.5
TraesCS3A02G196000,0,0.25,0.25,0,0,0.5,0.5
TraesCS3A02G298500,0,0.5,0.25,0,3.83333333333333,0.75,0
TraesCS3A02G331900,0,0,0.5,0,0.166666666666667,0,0
TraesCS3A02G335900,2.25,0.5,0,0,0.166666666666667,0.5,1.5
TraesCS3A02G339800,0.5,0.5,1.5,0,0.5,1,0.75
TraesCS3B02G006900,0,0,0,0,0,0,0
TraesCS3B02G026700,0,0,0,0,0,0,0
TraesCS3B02G227600,1,3.5,0.75,2,0.666666666666667,1.75,5.25
TraesCS3B02G338000,0,0.25,0,0,1.5,0.5,0
TraesCS3B02G362000,0.5,0.5,0,0,2.16666666666667,0.25,0
TraesCS3B02G366800,2,0,0.25,0,0,0,3
TraesCS3B02G371400,0,0,0,0,0,0,0
TraesCS3D02G003600,0,0,0,0,0,0,1
TraesCS3D02G027300,0,0,0.25,0,0,0,0.75
TraesCS3D02G199100,2.25,4.75,0,8.75,6.83333333333333,4.25,11.25
TraesCS3D02G303400,0,0,0,0,0,0.25,0
TraesCS3D02G325400,1.75,0,0,0,0.333333333333333,0,0
TraesCS3D02G328900,4.25,1,0.5,0.25,0,1.25,0.5
TraesCS3D02G333300,0,0,0,0,0,0,0.5
TraesCS4A02G041500,0,0.25,0.25,0.25,0,0,2.75
TraesCS4A02G271100,0,0.25,0,0,0.333333333333333,0,1
TraesCS4A02G284700,48.5,6.5,9,7.25,0.166666666666667,11.5,90.75
TraesCS4A02G415600,7.75,1,1,2.25,0.166666666666667,1.5,46.25
TraesCS4B02G028400,3,0.75,0.75,0.25,0,0.75,4
TraesCS4B02G043000,1.75,5.75,2.25,2.5,23.8333333333333,4.75,5.75
TraesCS4B02G262500,0,0,0,0,0,0,0
TraesCS4B02G316400,2,0.5,1.25,0.75,0.166666666666667,1,35.5
TraesCS4D02G040300,2,3.25,1.5,1.75,8.66666666666667,2.75,5
TraesCS4D02G262600,0,0.25,0.25,0.25,0,0,1.25
TraesCS4D02G313000,2.75,1.5,0.5,1.25,0,0.75,28.5
TraesCS5A02G015800,0,0,0,0,0,0,0
TraesCS5A02G060000,2,0.25,0,0.5,0,0,3.5
TraesCS5A02G220400,4,15,16.25,5.5,59,17.5,9.75
TraesCS5A02G220500,1.75,5.75,1.5,3.5,0.833333333333333,10.75,1.25
TraesCS5A02G483100,0,0,0,0,0,0,0
TraesCS5B02G014100,0,0,0,0,0,0,0
TraesCS5B02G067300,1.75,0,0,0,0,0,0.25
TraesCS5B02G219500,13.25,17,25.25,6,17.3333333333333,21.75,14
TraesCS5B02G219600,2,4.75,0.75,1.75,8.66666666666667,10.75,0.75
TraesCS5B02G496200,0,0,0,0,0.166666666666667,0,0
TraesCS5D02G021800,0,0.25,0,0,0,0,0
TraesCS5D02G071500,0.5,0,0,0,0,0,0
TraesCS5D02G228400,46.5,10,23,3.5,1.33333333333333,13.25,32
TraesCS5D02G228500,0.75,2.25,0.25,4.5,0.333333333333333,8.75,4.5
TraesCS5D02G496600,0,0,0,0,0,0,0
TraesCS6A02G008800,1.25,1,0.5,2,4.66666666666667,0.5,39.5
TraesCS6A02G009400,0,0,0,0,0,0,0.25
TraesCS6A02G039800,0.75,0,0,0.5,1.5,0.25,0
TraesCS6A02G271500,3.25,0,0,1,1.33333333333333,0.75,2.25
TraesCS6A02G329600,0,0,0,0,0,0,0
TraesCS6A02G329700,0,0,0,0,0,0,0
TraesCS6A02G329800,0,0,0,0,0,0,0
TraesCS6A02G329900,0,0.5,0,2.25,0,0.5,0.75
TraesCS6A02G330000,0,0,0,0,0,0,0
TraesCS6A02G330100,0,0,0,0,0,0,0
TraesCS6B02G014700,0,0,0,0,0,0,0
TraesCS6B02G015400,3.25,4.25,2.5,4.25,5.16666666666667,3,48.5
TraesCS6B02G054800,0,0,0,0,0,0,0
TraesCS6B02G298700,3.25,0.25,0.5,1.25,0.5,0.25,1.5
TraesCS6B02G360400,0,0,0,0,0,0,0
TraesCS6B02G360500,0,0,0,0,0,0,0
TraesCS6B02G360600,0,0,0,0,0,0,0
TraesCS6B02G360700,0,0,0,0,0,0,0
TraesCS6B02G360800,0,0,0,0,0,0,0.25
TraesCS6B02G360900,0,1,0.25,0.25,3.5,1,1
TraesCS6D02G009800,2.75,1.5,1.75,1.5,2.5,1.25,32
TraesCS6D02G012400,0,0,0,0,0,0,0
TraesCS6D02G045700,0,0,0,0,0,0,0.75
TraesCS6D02G251700,11.75,3.75,3.75,3.25,6,2.25,10.25
TraesCS6D02G308500,0,0,0,0,0,0,0
TraesCS6D02G308600,0,0,0,0,0,0,0
TraesCS6D02G308700,0,0,0,0,0,0,0
TraesCS6D02G308800,0,0,0,0,0,0,0
TraesCS6D02G308900,0,0,0,0,0,0,0
TraesCS6D02G309000,0,0,0,0,0,0,0.25
TraesCS7A02G109400,0,0,0,0,0,0,0
TraesCS7A02G109600,0,0,0,0,0,0,0
TraesCS7A02G169100,29.5,2.75,2.75,6.5,2,4.75,79.5
TraesCS7A02G209000,8.75,3,4.75,1.75,11.5,5.75,5.75
TraesCS7A02G300400,0.25,38,0,38.75,0.166666666666667,161.75,1.75
TraesCS7A02G409900,2.75,25.75,8.5,20.5,27,32.25,10.5
TraesCS7A02G477400,0.25,0.25,0,0,0,0.75,0.5
TraesCS7A02G477500,0.5,7.75,9.25,3.5,2.5,4.25,15.75
TraesCS7A02G490000,0,0,0,0,0,0,0
TraesCS7A02G526900,0.25,0,0,0,0,0,0.25
TraesCS7B02G007400,0,0,0,0,0,0,0
TraesCS7B02G007600,0,0,0,0,0,0,0
TraesCS7B02G073900,26.75,1.5,2.5,4.75,0.833333333333333,1.75,84
TraesCS7B02G116100,0.75,0.25,0,1,4.33333333333333,1.5,0.5
TraesCS7B02G201300,0,0.25,0,0,0,0,0
TraesCS7B02G309300,4.75,25.75,6.5,10,99.8333333333333,27.75,7
TraesCS7B02G379000,0,0,0,0,0,0,0
TraesCS7B02G379300,0,0,0,0,0,0,0
TraesCS7B02G388500,0,0,0,0,0,0,0
TraesCS7B02G393200,0,0,0,0.25,0,0,0
TraesCS7D02G104700,0,0,0,0,0,0,0
TraesCS7D02G104900,0,0,0,0,0,0,0
TraesCS7D02G170200,36.75,5.5,3.25,7,2,3.25,124.75
TraesCS7D02G211200,5.75,4,1,1,6,4,2.5
TraesCS7D02G296100,0,13.5,0,21,0,55.25,0
TraesCS7D02G403100,14.75,43.75,20.5,31.25,91.8333333333333,44.75,11.75
TraesCS7D02G464900,1,0,0,0,0.166666666666667,0,0
TraesCS7D02G465000,0,0,0,0,0,0,0
TraesCS7D02G472200,0.25,0,0,0,0.166666666666667,0,0.25
TraesCS7D02G476400,0,0,0,0,0,0,0
TraesCS2D02G271000_M,0,0,0,0,0.166666666666667,0,0
TraesCS2A02G707500_M,0,0,0,0,0,0,0
TraesCS2B02G855500_M,0,0,0,0,0,0,0
TraesCS4D02G015400_M,258,61.5,27.25,35,5.33333333333333,60.25,698.75
